Country,Pollutant,Variable,Year,Unit,Emissions
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,1996,Thousands of Kilogram per capita,11.432
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,1997,Thousands of Kilogram per capita,10.146
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,1998,Thousands of Kilogram per capita,9.884
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,1999,Thousands of Kilogram per capita,9.809
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,2000,Thousands of Kilogram per capita,9.698
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,2001,Thousands of Kilogram per capita,9.621
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,2002,Thousands of Kilogram per capita,9.349
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,2003,Thousands of Kilogram per capita,9.591
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,2004,Thousands of Kilogram per capita,9.793
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,2005,Thousands of Kilogram per capita,9.998
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,2006,Thousands of Kilogram per capita,10.462
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,2007,Thousands of Kilogram per capita,10.352
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,2008,Thousands of Kilogram per capita,10.309
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,2009,Thousands of Kilogram per capita,8.846
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,2010,Thousands of Kilogram per capita,9.28
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,2011,Thousands of Kilogram per capita,9.97
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,2012,Thousands of Kilogram per capita,10.052
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,2013,Thousands of Kilogram per capita,9.959
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Thousands of Kilogram per capita,9.597
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,2015,Thousands of Kilogram per capita,9.904
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,2016,Thousands of Kilogram per capita,9.672
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,2017,Thousands of Kilogram per capita,10.077
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,2018,Thousands of Kilogram per capita,10.679
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,2019,Thousands of Kilogram per capita,10.807
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,2020,Thousands of Kilogram per capita,10.268
Russia,Greenhouse gases,Total GHG incl. LULUCF per capita,2021,Thousands of Kilogram per capita,11.463
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,1990,Thousands of Kilogram per capita,13.019
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,1991,Thousands of Kilogram per capita,12.721
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,1992,Thousands of Kilogram per capita,12.603
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,1993,Thousands of Kilogram per capita,12.543
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,1994,Thousands of Kilogram per capita,12.614
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,1995,Thousands of Kilogram per capita,12.679
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,1996,Thousands of Kilogram per capita,12.916
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,1997,Thousands of Kilogram per capita,12.882
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,1998,Thousands of Kilogram per capita,12.738
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,1999,Thousands of Kilogram per capita,12.663
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,2000,Thousands of Kilogram per capita,12.72
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,2001,Thousands of Kilogram per capita,12.468
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,2002,Thousands of Kilogram per capita,12.556
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,2003,Thousands of Kilogram per capita,12.604
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,2004,Thousands of Kilogram per capita,12.703
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,2005,Thousands of Kilogram per capita,12.617
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,2006,Thousands of Kilogram per capita,12.431
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,2007,Thousands of Kilogram per capita,12.603
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,2008,Thousands of Kilogram per capita,12.179
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,2009,Thousands of Kilogram per capita,11.39
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,2010,Thousands of Kilogram per capita,11.642
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,2011,Thousands of Kilogram per capita,11.415
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,2012,Thousands of Kilogram per capita,11.183
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,2013,Thousands of Kilogram per capita,11.218
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Thousands of Kilogram per capita,11.02
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,2015,Thousands of Kilogram per capita,10.95
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,2016,Thousands of Kilogram per capita,10.655
